
################################
#Benchmark pattern info:
################################
./posixGlibcIO_sleep
################################
#Fixed dim and values:
################################
nbCharOutput, 500000000 ,nbIteration, 40
################################
#Variable dim:
################################
computeTime,nbIoDevice
################################
#Result dim:
################################
Iterations, Iteration + wait
################################
#Data:
################################
0.00000001, 1
4.69336574872e-05, 22.6172234732
0.0000001, 1
4.29091534075e-05, 22.1196107002
0.0000002, 1
8.36637343405e-05, 22.199163422
0.0000004, 1
2.50286338545e-05, 22.158676934
0.0000006, 1
0.000103104264139, 22.2160745221
0.0000008, 1
7.35671943054e-05, 22.1540303389
0.000001, 1
0.000101815269798, 22.6021489057
0.000002, 1
9.7404683561e-05, 22.0562679725
0.000004, 1
3.3056387043e-05, 22.7550874804
0.000006, 1
3.43938752483e-05, 22.3804895061
0.000008, 1
3.9989206242e-05, 21.8161526717
0.00001, 1
0.000106478857861, 22.0256000838
0.00003, 1
3.49094663092e-05, 22.2718149879
0.00006, 1
6.69679435773e-05, 22.0530215872
0.00008, 1
9.44662881643e-05, 22.5263481793
0.0001, 1
9.13991984311e-05, 22.7653856507
0.0003, 1
9.36002929422e-05, 24.5448310472
0.0006, 1
6.54973443993e-05, 22.1805573855
0.0008, 1
2.55927376815e-05, 22.6592457247
1, 1
2.81273966757e-05, 15.382675912
2, 1
3.26233857413e-05, 9.87708564133
3, 1
6.84201050693e-05, 8.11658235833
4, 1
7.37752793253e-05, 9.56122002715
5, 1
5.82802743377e-05, 8.23763373718
0.00000001, 2
6.38591619198e-05, 21.2410305914
0.0000001, 2
8.9985536021e-05, 20.999250921
0.0000002, 2
9.62496112532e-05, 20.851103745
0.0000004, 2
3.31213334785e-05, 20.7957079022
0.0000006, 2
0.000109550344335, 20.7446606413
0.0000008, 2
4.18013922662e-05, 20.9564570803
0.000001, 2
2.73993126658e-05, 21.0789128133
0.000002, 2
3.17493657486e-05, 21.0865631679
0.000004, 2
2.61600501626e-05, 20.7805206836
0.000006, 2
6.54163594134e-05, 20.9931096242
0.000008, 2
4.29219840521e-05, 21.0233455577
0.00001, 2
0.000116511626818, 21.2102850037
0.00003, 2
4.4273909922e-05, 22.5769635585
0.00006, 2
9.15575674914e-05, 22.395678535
0.00008, 2
0.000103937778712, 22.5888280787
0.0001, 2
9.49762658745e-05, 22.4809251639
0.0003, 2
7.96103650646e-05, 22.380215595
0.0006, 2
4.4450716538e-05, 22.0981234922
0.0008, 2
6.39124849053e-05, 22.6504866384
1, 2
8.02654748587e-05, 15.0181068684
2, 2
2.64839996289e-05, 9.32844494477
3, 2
6.65405609968e-05, 7.40534550472
4, 2
2.44176241776e-05, 7.55223493695
5, 2
8.29941822259e-05, 8.15412672468
0.00000001, 3
0.000115366591149, 22.394828479
0.0000001, 3
2.75705085747e-05, 21.9359874213
0.0000002, 3
4.36320227139e-05, 22.5705002401
0.0000004, 3
4.258841182e-05, 22.3651659712
0.0000006, 3
2.74915248865e-05, 22.7469911809
0.0000008, 3
0.000110304490646, 22.2598345534
0.000001, 3
9.64693170919e-05, 22.381345165
0.000002, 3
8.99823259398e-05, 22.3373531786
0.000004, 3
3.27813383845e-05, 22.1076195354
0.000006, 3
8.9275093601e-05, 22.7323083933
0.000008, 3
4.29953553526e-05, 22.5647596756
0.00001, 3
6.56729573852e-05, 22.3013134618
0.00003, 3
6.8819829302e-05, 22.3963512963
0.00006, 3
6.41177614252e-05, 22.3418380132
0.00008, 3
8.71814569579e-05, 22.4153301648
0.0001, 3
3.62589856978e-05, 22.4199109729
0.0003, 3
3.763857362e-05, 22.9326178514
0.0006, 3
3.27035728813e-05, 21.9482345693
0.0008, 3
0.000113149866531, 22.2671948077
1, 3
2.34650218932e-05, 14.8680266581
2, 3
3.27035709146e-05, 9.17456107628
3, 3
9.89558660674e-05, 7.64089568231
4, 3
2.67149326419e-05, 7.98854351966
5, 3
7.10221173121e-05, 8.37445744151
0.00000001, 4
6.53205382842e-05, 22.4979237954
0.0000001, 4
8.76192722265e-05, 22.3778537642
0.0000002, 4
2.72994831652e-05, 22.1836505549
0.0000004, 4
3.82564012086e-05, 22.4359350171
0.0000006, 4
3.39296051559e-05, 22.0415020681
0.0000008, 4
2.14932644432e-05, 21.8141569059
0.000001, 4
0.000101720655847, 22.5765972499
0.000002, 4
8.34969410241e-05, 22.2897837129
0.000004, 4
6.67105488123e-05, 22.3699440366
0.000006, 4
0.000108637037075, 22.5870581384
0.000008, 4
8.33927025227e-05, 22.5099883585
0.00001, 4
3.34260380006e-05, 22.2826586684
0.00003, 4
3.11740358897e-05, 22.2787065679
0.00006, 4
3.43654092922e-05, 22.1969326753
0.00008, 4
3.7208780517e-05, 22.4094257566
0.0001, 4
8.70351158369e-05, 22.5520853701
0.0003, 4
9.53747874427e-05, 22.5929975496
0.0006, 4
5.82449872512e-05, 22.7470705888
0.0008, 4
2.68320016722e-05, 22.6405550628
1, 4
0.000106057073886, 15.4459084082
2, 4
2.34301423542e-05, 9.30809292488
3, 4
2.03365933607e-05, 7.44467438316
4, 4
2.74915273665e-05, 8.26234526331
5, 4
6.27594243271e-05, 7.30002102426
